areaname,state_name,county_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,total_pop
Calcasieu Parish,Louisiana,Calcasieu Parish,183514,182975,182842,183589,184079,184399,182944,184318,185872,187554,168134
Penobscot County,Maine,Penobscot County,144907,145589,146249,147123,146660,147020,148197,148603,149268,149419,146601
Dorchester County,Maryland,Dorchester County,30586,30600,30428,30460,30847,31110,31299,31762,32017,32043,30236
Nantucket County,Massachusetts,Nantucket County,9574,9742,10076,10305,10536,10608,10803,11060,11272,11322,6012
Benzie County,Michigan,Benzie County,16106,16463,16719,17113,17242,17463,17585,17535,17391,17227,12200
Carver County,Minnesota,Carver County,70860,73109,75686,78391,81020,83943,86510,88320,90162,92107,47915
Choctaw County,Mississippi,Choctaw County,9748,9611,9583,9517,9335,9267,9172,8999,9067,9023,9071
Boone County,Missouri,Boone County,135846,137683,139759,141544,143419,146337,149824,152313,154331,156377,112379
Daniels County,Montana,Daniels County,2012,2002,1911,1875,1795,1769,1730,1682,1688,1703,2266
Buffalo County,Nebraska,Buffalo County,42341,42420,42940,43208,43682,44010,44490,44887,45186,45814,37447
Lyon County,Nevada,Lyon County,34841,36129,37764,39890,42846,46607,50289,52305,52813,52641,20001
Sullivan County,New Hampshire,Sullivan County,40552,40867,41184,41721,42059,42290,42653,42755,42813,42692,38592
Hunterdon County,New Jersey,Hunterdon County,122553,124657,126205,127339,128170,128734,129354,129655,129806,130034,107852
Guadalupe County,New Mexico,Guadalupe County,4684,4713,4659,4701,4525,4457,4400,4408,4321,4241,4156
Clinton County,New York,Clinton County,79897,80248,80525,81066,81380,81690,81905,81865,81699,81618,85969
Brunswick County,North Carolina,Brunswick County,73756,76147,78520,80880,83666,88221,94430,99724,104122,107062,50985
Cavalier County,North Dakota,Cavalier County,4803,4653,4543,4431,4316,4213,4009,3838,3767,3699,6064
Carroll County,Ohio,Carroll County,28869,28936,29100,29187,29115,28885,28888,28769,28677,28539,26521
Carter County,Oklahoma,Carter County,45591,45595,45887,46150,46604,46632,46980,47287,47716,48326,42919
Douglas County,Oregon,Douglas County,100423,100069,100579,101307,102010,102817,103685,103688,103529,103205,94649
Butler County,Pennsylvania,Butler County,174519,175847,177504,178664,179405,180074,181676,182488,183663,184694,152013
Charleston County,South Carolina,Charleston County,311047,314506,320050,325336,333122,337584,341425,344506,349778,355276,295159
Butte County,South Dakota,Butte County,9111,9092,8973,9070,9107,9192,9237,9480,9603,9577,7914
Carter County,Tennessee,Carter County,56834,56875,56830,58260,58412,58666,58956,58938,59172,59043,51505
Bandera County,Texas,Bandera County,17811,18197,18731,19117,19294,19483,19821,20318,20501,20560,10562
Grand County,Utah,Grand County,8399,8515,8716,8793,8851,9066,9291,9422,9598,9660,6620
Orleans County,Vermont,Orleans County,26335,26463,26561,26911,27065,27217,27207,27335,27265,27301,24053
Bedford County,Virginia,Bedford County,60606,60980,61356,62036,63014,64104,65483,66373,66465,67154,45553
Ferry County,Washington,Ferry County,7276,7277,7261,7388,7437,7443,7501,7362,7393,7520,6295
Fayette County,West Virginia,Fayette County,47498,47090,46970,47072,46758,46259,46233,46303,46284,46123,47952
Clark County,Wisconsin,Clark County,33629,33614,33566,33619,33656,33597,33526,33418,33496,33426,31647
Johnson County,Wyoming,Johnson County,7101,7155,7354,7472,7523,7646,7748,8094,8403,8531,6145
Anchorage Municipality,Alaska,Anchorage Municipality,260586,263929,268163,271616,274852,276863,279935,278504,280471,286174,226338
Chilton County,Alabama,Chilton County,39781,40030,40460,40776,41170,41510,41821,42362,42696,42971,32458
Pinal County,Arizona,Pinal County,181283,188370,197830,208772,220724,237457,270453,302633,329060,340962,116397
Clay County,Arkansas,Clay County,17542,17256,16972,16769,16588,16483,16315,16068,15774,15585,18107
Glenn County,California,Glenn County,26451,26487,26705,27071,27193,27452,27714,27862,28127,28299,24798
Conejos County,Colorado,Conejos County,8398,8320,8299,8220,8235,8190,8083,8006,7980,7844,7453
Collier County,Florida,Collier County,254070,264232,275367,284896,295453,306640,311650,313463,315533,318537,152099
Bibb County,Georgia,Bibb County,153854,153630,153979,153875,154388,154272,154870,154891,155079,156060,150137
Boundary County,Idaho,Boundary County,9908,9837,9876,10013,10230,10378,10617,10856,10937,10951,8332
Christian County,Illinois,Christian County,35354,35152,35022,34944,35010,34786,34642,34566,34467,34253,34418
Clay County,Indiana,Clay County,26563,26556,26393,26627,26802,26823,26770,26617,26665,26533,24705
Buena Vista County,Iowa,Buena Vista County,20352,20194,20142,19990,19800,19713,19604,19455,19491,19601,19965
Cherokee County,Kansas,Cherokee County,22549,22266,22043,21913,21831,21389,21435,21410,21178,21064,21374
Boyle County,Kentucky,Boyle County,27703,27627,27723,27807,28319,28513,28714,28909,29173,29263,25590
Caldwell Parish,Louisiana,Caldwell Parish,10579,10478,10503,10448,10500,10382,10376,10379,10424,10439,9806
Piscataquis County,Maine,Piscataquis County,17244,17135,17132,17204,17211,17255,17177,17179,16989,16795,18653
Frederick County,Maryland,Frederick County,196522,201994,208593,212882,216418,219416,222024,224978,226525,227980,150208
Norfolk County,Massachusetts,Norfolk County,651227,653482,654144,652781,652283,650996,652750,656122,661359,666303,616087
Berrien County,Michigan,Berrien County,162556,161683,161541,161501,161274,160310,159658,159886,160319,160472,161378
Cass County,Minnesota,Cass County,27277,27608,27880,28009,28340,28666,28722,28640,28707,28534,21791
Claiborne County,Mississippi,Claiborne County,11823,11677,11543,11252,11256,11272,11026,10685,10813,10755,11370
Buchanan County,Missouri,Buchanan County,86094,86184,86334,86315,86642,87105,87420,88814,89186,89856,83083
Dawson County,Montana,Dawson County,9036,8902,8692,8644,8552,8536,8538,8581,8524,8558,9505
Burt County,Nebraska,Burt County,7789,7662,7489,7364,7395,7219,7115,7005,6972,6922,7868
Mineral County,Nevada,Mineral County,5007,4844,4693,4705,4827,4794,4761,4753,4648,4662,6475
Mercer County,New Jersey,Mercer County,351561,353965,356098,358669,361225,361882,362813,363402,364571,366222,325759
Harding County,New Mexico,Harding County,803,780,740,754,769,740,731,710,668,663,987
Columbia County,New York,Columbia County,63055,62808,62847,62782,62933,62839,62383,62284,61961,61618,62982
Buncombe County,North Carolina,Buncombe County,206991,208464,210717,213210,215867,218684,223012,226823,229373,231452,174357
Dickey County,North Dakota,Dickey County,5751,5666,5587,5484,5553,5460,5385,5380,5262,5217,6107
Champaign County,Ohio,Champaign County,38925,38968,39134,39155,39237,39195,39531,39589,39718,39713,36019
Cherokee County,Oklahoma,Cherokee County,42674,43032,43518,43853,44129,44408,45036,45065,45667,46029,34049
Gilliam County,Oregon,Gilliam County,1908,1875,1827,1749,1762,1739,1690,1655,1698,1645,1717
Cambria County,Pennsylvania,Cambria County,152240,150995,149851,148710,147704,146726,145822,145061,144488,143998,163062
Cherokee County,South Carolina,Cherokee County,52665,52990,53333,53266,53427,53522,53860,54151,54629,54714,44506
Campbell County,South Dakota,Campbell County,1780,1748,1704,1642,1589,1520,1452,1390,1355,1344,1965
Cheatham County,Tennessee,Cheatham County,36093,36551,36940,37166,37580,38037,38615,39148,39532,39876,27140
Bastrop County,Texas,Bastrop County,58293,61278,63774,66149,67559,68769,70375,72184,73436,74876,38263
Iron County,Utah,Iron County,33989,34724,35648,36061,37030,39298,41703,43283,44194,45280,20789
Rutland County,Vermont,Rutland County,63423,63294,63246,63440,63419,63508,63484,63312,63214,63014,62142
Bland County,Virginia,Bland County,6850,6884,6826,6870,6853,6794,6742,6822,6811,6791,6514
Franklin County,Washington,Franklin County,49602,50771,52831,56128,59112,62581,66143,69518,73186,77355,37473
Gilmer County,West Virginia,Gilmer County,7169,7086,6999,7010,6973,6924,6920,6896,6881,6824,7669
Columbia County,Wisconsin,Columbia County,52617,52980,53140,53640,54351,54550,54822,55064,55139,55170,45088
Laramie County,Wyoming,Laramie County,81745,82392,83144,84287,85195,85270,85974,86601,87759,88854,73142
Choctaw County,Alabama,Choctaw County,15850,15652,15342,15168,14894,14507,14389,14178,14083,13990,16018
Santa Cruz County,Arizona,Santa Cruz County,38542,38914,39288,39541,40177,41113,42040,42692,43133,43771,29676
Cleburne County,Arkansas,Cleburne County,24113,24188,24324,24606,24868,25070,25176,25282,25334,25600,19411
Humboldt County,California,Humboldt County,126403,127002,127779,128219,128694,128943,129033,128564,128852,129623,119118
Costilla County,Colorado,Costilla County,3668,3576,3557,3522,3497,3370,3341,3303,3246,3148,3190
Columbia County,Florida,Columbia County,56726,57340,58333,59898,61457,63916,66975,67927,68901,69264,42613
Bleckley County,Georgia,Bleckley County,11677,11783,11682,11779,11945,12039,12422,12827,12777,12855,10430
Butte County,Idaho,Butte County,2899,2848,2893,2816,2778,2781,2735,2780,2783,2764,2918
Clark County,Illinois,Clark County,16993,16873,16904,16819,16803,16827,16786,16831,16788,16657,15921
Clinton County,Indiana,Clinton County,33968,33953,33873,33732,33800,33800,33981,33988,34271,34367,30974
Butler County,Iowa,Butler County,15290,15005,14826,14782,14782,14712,14632,14626,14595,14341,15731
Cheyenne County,Kansas,Cheyenne County,3156,3074,3016,2931,2892,2840,2820,2757,2728,2700,3243
Bracken County,Kentucky,Bracken County,8277,8360,8450,8439,8662,8614,8581,8607,8637,8653,7766
Cameron Parish,Louisiana,Cameron Parish,9949,9834,9736,9688,9636,9576,7457,7228,7100,6584,9260
Sagadahoc County,Maine,Sagadahoc County,35225,35498,35802,36684,36585,36317,36621,36582,36642,36391,33535
Garrett County,Maryland,Garrett County,29824,29724,29821,29915,29806,29654,29642,29648,29658,29555,28138
Plymouth County,Massachusetts,Plymouth County,474414,478981,483209,485444,486640,488267,489241,491361,494353,498344,435276
Branch County,Michigan,Branch County,45874,46022,46535,46459,46506,46354,46326,46253,45780,44737,41502
Chippewa County,Minnesota,Chippewa County,13066,12945,12851,12684,12591,12617,12541,12412,12378,12321,13228
Clarke County,Mississippi,Clarke County,17937,17797,17690,17562,17507,17321,17438,17366,17335,17207,17313
Butler County,Missouri,Butler County,40799,40682,40785,40686,40897,41258,41371,41120,41247,41471,38765
Deer Lodge County,Montana,Deer Lodge County,9385,9222,9096,8982,9002,8991,8834,8860,8904,8792,10356
Butler County,Nebraska,Butler County,8857,8911,8847,8741,8652,8495,8408,8394,8382,8400,8601
Nye County,Nevada,Nye County,32912,33661,34380,35424,37159,39857,42335,44067,44175,44234,17781
Middlesex County,New Jersey,Middlesex County,752705,760058,765867,770336,774209,778018,775876,779830,785324,790738,671712
Hidalgo County,New Mexico,Hidalgo County,5754,5448,5281,5137,5035,4961,4927,5015,5043,5057,5958
Cortland County,New York,Cortland County,48571,48601,48410,48802,48780,48315,48279,48313,48131,47996,48963
Burke County,North Carolina,Burke County,89325,89285,89031,88889,88653,88574,88704,88827,89282,89548,75740
Divide County,North Dakota,Divide County,2264,2173,2183,2177,2162,2095,2058,2009,1998,1961,2899
Clark County,Ohio,Clark County,144661,143929,143412,141915,141565,141543,140875,140187,139818,139671,147538
Choctaw County,Oklahoma,Choctaw County,15328,15143,15248,15138,15168,15087,15091,15002,14885,14872,15302
Grant County,Oregon,Grant County,7903,7445,7327,7295,7183,7092,7020,6868,6864,6795,7853
Cameron County,Pennsylvania,Cameron County,5943,5897,5804,5734,5582,5483,5405,5350,5267,5163,5913
Chester County,South Carolina,Chester County,34111,33938,33873,33606,33240,32887,32658,32645,32732,32410,32170
Charles Mix County,South Dakota,Charles Mix County,9335,9196,9147,9041,9010,9081,9046,8960,8925,8984,9131
Chester County,Tennessee,Chester County,15568,15845,15857,15549,15793,15879,15978,16078,16284,16312,12819
Baylor County,Texas,Baylor County,4080,3940,3900,3931,3932,3854,3833,3860,3723,3677,4385
Juab County,Utah,Juab County,8271,8386,8473,8599,8777,8889,9132,9551,9999,10244,5817
Washington County,Vermont,Washington County,58091,58477,58768,58732,58766,58952,58911,58702,58677,58696,54928
Botetourt County,Virginia,Botetourt County,30564,30668,31058,31304,31526,31501,32180,32345,32579,32551,24992
Garfield County,Washington,Garfield County,2389,2302,2265,2268,2203,2189,2147,2091,2117,2101,2248
Grant County,West Virginia,Grant County,11287,11319,11289,11364,11504,11577,11747,11865,11921,11833,10428
Crawford County,Wisconsin,Crawford County,17246,17021,16980,16865,16972,16874,16932,16896,16794,16731,15940
Lincoln County,Wyoming,Lincoln County,14614,14588,14644,14787,15090,15345,15727,16178,16681,16995,12625
Clarke County,Alabama,Clarke County,27833,27634,27273,27076,26944,26740,26729,26416,26264,26042,27240
Yavapai County,Arizona,Yavapai County,168886,173285,178390,183400,189532,197533,206672,212004,214930,215686,107714
Cleveland County,Arkansas,Cleveland County,8544,8621,8596,8629,8652,8741,8692,8735,8597,8436,7781
Imperial County,California,Imperial County,142396,143152,144579,147254,149909,153047,156792,160366,163093,166874,109303
Crowley County,Colorado,Crowley County,5533,5681,5792,5627,5920,5939,6242,6471,6498,6403,3946
Dade Co.,,,,,,,,,,,,,
Brantley County,Georgia,Brantley County,14668,14831,15055,15162,15224,15272,15363,15434,15496,15643,11077
Camas County,Idaho,Camas County,978,1006,1027,1028,1017,1060,1061,1086,1106,1109,727
Clay County,Illinois,Clay County,14410,14221,14147,14065,13974,13924,13815,13705,13663,13538,14460
Crawford County,Indiana,Crawford County,10785,10911,10949,10967,10978,10946,10932,10853,10705,10540,9914
Calhoun County,Iowa,Calhoun County,11089,10946,10719,10522,10388,10247,10101,9951,9851,9671,11508
Clark County,Kansas,Clark County,2387,2359,2320,2290,2267,2190,2128,2071,2079,2081,2418
Breathitt County,Kentucky,Breathitt County,16061,15912,15772,15689,15746,15729,15656,15595,15652,15575,15703
Catahoula Parish,Louisiana,Catahoula Parish,10903,10793,10659,10556,10455,10252,10402,10452,10553,10460,11065
Somerset County,Maine,Somerset County,50893,50769,50775,50926,50791,50901,51313,51494,51220,50947,49767
Harford County,Maryland,Harford County,219472,222323,226862,230834,234003,237358,239903,240316,241393,242514,182132
Suffolk County,Massachusetts,Suffolk County,691238,705348,711464,711144,710282,712228,715799,728819,742724,753580,663906
Calhoun County,Michigan,Calhoun County,138021,138052,138343,138521,138882,138222,137445,136689,136404,135616,135982
Chisago County,Minnesota,Chisago County,41539,43091,44722,46333,47722,48599,49380,49922,50326,50625,30521
Clay County,Mississippi,Clay County,21972,21797,21839,21362,21394,21104,20986,20876,20716,20722,21120
Caldwell County,Missouri,Caldwell County,8977,8989,9002,9086,9143,9162,9209,9242,9189,9160,8380
Fallon County,Montana,Fallon County,2811,2719,2688,2714,2701,2624,2617,2652,2666,2725,3103
Cass County,Nebraska,Cass County,24394,24524,24704,25011,25241,25363,25462,25520,25643,25485,21318
Monmouth County,New Jersey,Monmouth County,617127,624065,630674,636145,639987,641823,641090,641036,641864,644105,553192
Lea County,New Mexico,Lea County,55155,54865,55422,55295,55699,56109,56867,57952,59129,60232,55765
Delaware County,New York,Delaware County,47967,47537,47099,47011,47055,46820,46413,46287,45938,45514,47352
Cabarrus County,North Carolina,Cabarrus County,132225,136191,139411,142476,144956,148682,155159,162740,168559,172223,98935
Dunn County,North Dakota,Dunn County,3595,3553,3498,3455,3355,3313,3305,3290,3315,3365,4005
Clermont County,Ohio,Clermont County,178629,180392,182539,184574,187275,189276,191859,193971,195417,196364,150094
Cimarron County,Oklahoma,Cimarron County,3149,3053,2974,2896,2794,2708,2684,2655,2585,2630,3301
Harney County,Oregon,Harney County,7629,7382,7231,7096,6975,6801,6798,6770,6761,6756,7060
Carbon County,Pennsylvania,Carbon County,58826,59201,59549,59991,60645,61532,62098,63163,63623,63865,56803
Chesterfield County,South Carolina,Chesterfield County,42836,42888,42990,42843,42700,42713,42658,42901,43072,43037,38575
Clark County,South Dakota,Clark County,4121,4111,3941,3863,3772,3671,3532,3502,3477,3431,4403
Claiborne County,Tennessee,Claiborne County,29992,30108,30038,30338,30555,30806,30964,31105,31289,31243,26137
Bee County,Texas,Bee County,32251,31815,31972,32852,32635,32439,32378,32437,32325,32487,25135
Kane County,Utah,Kane County,6079,5951,5994,6007,6038,6167,6430,6494,6541,6601,5169
Windham County,Vermont,Windham County,44156,43975,43985,44071,43845,43663,43745,43699,43559,43471,41588
Brunswick County,Virginia,Brunswick County,18416,18342,18256,18047,17918,17963,17950,17743,17762,17514,15987
Grant County,Washington,Grant County,74959,76171,77129,78148,78982,79845,81390,83111,85616,88098,54798
Greenbrier County,West Virginia,Greenbrier County,34423,34366,34442,34539,34544,34523,34600,34697,34705,34527,34693
Dane County,Wisconsin,Dane County,428626,435880,443430,449644,456058,462237,468750,476261,483298,491357,367085
Natrona County,Wyoming,Natrona County,66554,66873,67371,67957,68659,69442,70259,71817,73057,74508,61226
Clay County,Alabama,Clay County,14264,14257,14173,14066,13939,13847,13777,13772,13807,13640,13252
Yuma County,Arizona,Yuma County,160675,163167,166071,169297,174000,180194,185267,189181,193299,196972,106895
Columbia County,Arkansas,Columbia County,25564,25311,25171,24815,24791,24572,24622,24308,24104,23854,25691
Inyo County,California,Inyo County,17918,17945,18079,18127,17974,17737,17499,17438,17223,17293,18281
Custer County,Colorado,Custer County,3514,3636,3667,3794,3821,3879,3863,3964,3944,4000,1926
DeSoto County,Florida,DeSoto County,32262,32603,32662,33531,34240,34258,34764,35096,35036,35297,23865
Brooks County,Georgia,Brooks County,16457,16308,16247,16072,16142,16114,16327,16344,16481,16354,15398
Canyon County,Idaho,Canyon County,133053,139042,144936,150979,156594,163234,171335,178795,184120,186615,90076
Clinton County,Illinois,Clinton County,35536,35630,35719,35839,35955,35987,36202,36216,36402,36368,33944
Daviess County,Indiana,Daviess County,29828,29632,29659,29817,29938,30010,29958,30120,30318,30620,27533
Carroll County,Iowa,Carroll County,21377,21214,21138,20984,20888,20911,20766,20788,20679,20674,21423
Clay County,Kansas,Clay County,8812,8741,8645,8557,8528,8547,8581,8682,8796,8704,9158
Breckinridge County,Kentucky,Breckinridge County,18678,18741,18834,18900,18913,19052,18957,19074,19144,19057,16312
Claiborne Parish,Louisiana,Claiborne Parish,16779,16606,16482,16425,16130,16291,16435,16431,16281,16118,17405
Waldo County,Maine,Waldo County,36468,37015,37518,37815,37998,38131,38472,38427,38276,38287,33018
Howard County,Maryland,Howard County,249599,255157,259379,262859,265385,267788,270741,274038,277187,281884,187328
Worcester County,Massachusetts,Worcester County,752684,762851,771243,778060,782748,787246,792315,796024,799343,803701,709711
Cass County,Michigan,Cass County,51118,51104,51023,50909,51129,50898,50544,50624,50422,49925,49477
Clay County,Minnesota,Clay County,51291,51369,51483,51710,52609,53303,54072,54641,55732,56763,50422
Coahoma County,Mississippi,Coahoma County,30550,30275,29846,29295,28828,28265,27915,27553,27184,26936,31665
Callaway County,Missouri,Callaway County,40925,41494,41972,41928,41570,42491,42933,43223,43588,43727,32809
Fergus County,Montana,Fergus County,11880,11676,11572,11434,11379,11246,11269,11198,11168,11208,12083
Cedar County,Nebraska,Cedar County,9580,9388,9252,9091,8991,8925,8697,8531,8397,8362,10131
Pershing County,Nevada,Pershing County,6654,6536,6532,6369,6332,6334,6358,6376,6292,6286,4336
Morris County,New Jersey,Morris County,471338,473163,476453,479532,482155,483198,484887,485592,486946,488518,421330
Lincoln County,New Mexico,Lincoln County,19535,19442,19621,20123,20482,20741,20926,20832,20925,21016,12219
Dutchess County,New York,Dutchess County,281001,284315,286769,289088,290637,291586,291471,291815,292500,293562,259462
Caldwell County,North Carolina,Caldwell County,77606,78145,78512,78596,78370,78736,79042,79357,79862,79914,70709
Eddy County,North Dakota,Eddy County,2741,2670,2627,2616,2590,2546,2455,2419,2375,2288,2951
Clinton County,Ohio,Clinton County,40660,40912,41220,41441,41798,42063,42837,42990,43152,43058,35444
Cleveland County,Oklahoma,Cleveland County,208403,212541,215733,219499,222373,225835,232379,235906,240568,244589,174253
Hood River County,Oregon,Hood River County,20472,20396,20597,20582,20783,20946,21111,21169,21469,21883,16903
Centre County,Pennsylvania,Centre County,135930,136874,139341,140606,141140,141643,144037,144089,145550,146212,124812
Clarendon County,South Carolina,Clarendon County,32536,32703,32694,32667,32762,32747,32772,32704,33104,32988,28450
Clay County,South Dakota,Clay County,13498,13570,13413,13396,13261,13278,13332,13458,13597,13490,13186
Clay County,Tennessee,Clay County,7983,7938,7945,7927,7966,7973,7997,7923,7895,7895,7238
Bell County,Texas,Bell County,239135,242573,248009,253903,255529,261709,266536,278342,285598,285787,191073
Millard County,Utah,Millard County,12395,12300,12222,12151,11988,11891,11889,11886,12095,12276,11333
Windsor County,Vermont,Windsor County,57483,57521,57678,57630,57562,57297,57046,56946,56763,56552,54055
Buchanan County,Virginia,Buchanan County,26816,26319,25945,25407,24950,24452,23992,23526,23090,22860,31333
Grays Harbor County,Washington,Grays Harbor County,67149,68004,68313,69036,69634,70144,70854,71343,71447,71797,64175
Hampshire County,West Virginia,Hampshire County,20291,20561,20807,21084,21293,21749,22269,22623,22662,22695,16498
Dodge County,Wisconsin,Dodge County,86015,86290,86641,86879,87377,87224,87849,87735,87843,87335,76559
Niobrara County,Wyoming,Niobrara County,2387,2325,2247,2226,2249,2229,2234,2337,2364,2366,2499
Los Alamos County,New Mexico,Los Alamos County,18275,17661,18148,18524,18573,18594,18703,18546,18240,18074,18115
Cleburne County,Alabama,Cleburne County,14156,14196,14376,14378,14264,14276,14433,14692,14736,14759,12730
Conway County,Arkansas,Conway County,20321,20336,20297,20338,20351,20460,20481,20678,20677,20799,19151
Kern County,California,Kern County,663484,674028,689204,706963,726029,747315,768209,784687,797145,807407,544981
Delta County,Colorado,Delta County,27916,28147,28764,28988,29402,29491,29899,30219,30834,31322,20980
Dixie County,Florida,Dixie County,13817,13921,13940,13895,14199,14600,14859,14871,14846,14824,10585
Bryan County,Georgia,Bryan County,23509,24111,24862,25847,27030,27793,28808,30084,31301,32559,15438
Caribou County,Idaho,Caribou County,7302,7342,7169,7106,7103,6953,6873,6859,6839,6914,6963
Coles County,Illinois,Coles County,53078,52309,52013,52337,52381,52038,52238,52270,52111,52065,51644
Dearborn County,Indiana,Dearborn County,46344,46774,47147,47748,48300,48620,49139,49694,50087,50502,38835
Cass County,Iowa,Cass County,14672,14476,14214,14228,14078,13918,13912,13870,13812,13758,15128
Cloud County,Kansas,Cloud County,10226,10053,9883,9787,9613,9580,9376,9313,9302,9263,11023
Bullitt County,Kentucky,Bullitt County,61633,63202,64823,66566,68927,71114,72398,73737,74736,75653,47567
Concordia Parish,Louisiana,Concordia Parish,20212,19931,19735,19477,19188,18913,19144,18924,18924,18989,20828
Washington County,Maine,Washington County,33886,33419,33182,33146,33111,32840,32734,32780,32490,32107,35308
Kent County,Maryland,Kent County,19266,19363,19491,19544,19578,19749,19854,19872,20269,20247,17842
Charlevoix County,Michigan,Charlevoix County,26172,26401,26469,26540,26441,26327,26146,26219,26001,25796,21468
Clearwater County,Minnesota,Clearwater County,8376,8330,8346,8275,8275,8235,8198,8232,8246,8242,8309
Copiah County,Mississippi,Copiah County,28761,28828,28698,28953,28989,28909,29256,29265,29228,29094,27592
Camden County,Missouri,Camden County,37228,37356,37794,38004,38390,39070,39863,40402,40711,40705,27495
Flathead County,Montana,Flathead County,74710,75997,77284,79167,80635,82535,84824,87200,89104,89624,59218
Chase County,Nebraska,Chase County,4047,3965,3975,3984,3883,3816,3768,3687,3616,3625,4381
Storey County,Nevada,Storey County,3393,3416,3398,3512,3672,4018,4147,4281,4438,4441,2526
Ocean County,New Jersey,Ocean County,513686,523696,536601,545479,551798,556525,561748,565525,569662,573678,433203
Luna County,New Mexico,Luna County,24989,24862,25085,25397,25655,26134,26545,26800,27095,27044,18110
Erie County,New York,Erie County,949494,945165,940645,936931,932002,923820,916292,911784,909858,909247,968584
Camden County,North Carolina,Camden County,6922,7081,7382,7852,8346,8893,9194,9427,9632,9730,5904
Emmons County,North Dakota,Emmons County,4301,4186,4064,3961,3874,3726,3631,3509,3445,3398,4830
Columbiana County,Ohio,Columbiana County,112093,111395,111061,110824,110395,109481,109319,108785,108106,107722,108276
Coal County,Oklahoma,Coal County,6004,5998,5931,5890,5836,5690,5613,5654,5672,5856,5780
Jackson County,Oregon,Jackson County,181798,183797,186567,189469,191697,194087,196165,198346,200298,201286,146387
Chester County,Pennsylvania,Chester County,435829,441763,448746,455877,463900,471562,480200,487567,493281,498894,376389
Colleton County,South Carolina,Colleton County,38333,38427,38606,38729,38895,38990,38911,39146,39349,39246,34377
Codington County,South Dakota,Codington County,25899,25898,25873,25852,25830,25836,26109,26309,26223,26168,22698
Cocke County,Tennessee,Cocke County,33630,33670,33982,34287,34455,34708,35079,35393,35804,36047,29141
Bexar County,Texas,Bexar County,1397813,1414511,1439835,1462052,1487463,1511506,1550921,1588905,1621304,1651448,1185394
Morgan County,Utah,Morgan County,7155,7289,7400,7444,7551,7752,8062,8438,8744,8908,5528
Buckingham County,Virginia,Buckingham County,15613,15724,15674,15709,15701,15815,15852,15954,15960,16080,12873
Island County,Washington,Island County,71847,74161,75603,76666,79372,79744,81109,80860,80847,81054,60195
Hancock County,West Virginia,Hancock County,32525,32198,31855,31485,31062,30865,30524,30058,29899,29729,35233
Door County,Wisconsin,Door County,28027,28142,28212,28246,28118,28027,28026,27783,27854,27815,25690
Park County,Wyoming,Park County,25806,25678,25740,25957,26063,26361,26790,27214,27626,27976,23178
Coffee County,Alabama,Coffee County,43540,43581,43759,44186,44712,45159,45639,46806,47773,48635,40240
Craighead County,Arkansas,Craighead County,82518,83274,83978,84953,86296,87443,89669,91383,93419,95457,68956
Kings County,California,Kings County,129774,132453,134681,138714,142151,143178,145168,147622,148746,148764,101469
Denver County,Colorado,Denver County,556094,564411,561072,558351,558506,561323,568692,578789,593086,610345,467549
Duval County,Florida,Duval County,779803,791064,802673,812238,821644,830828,842100,848841,853116,857040,672971
Bulloch County,Georgia,Bulloch County,56223,57019,57683,59694,61274,63548,64860,66412,67795,69213,43125
Cassia County,Idaho,Cassia County,21393,21475,21336,21195,20967,20919,20747,20959,21447,21698,19532
Cook County,Illinois,Cook County,5376861,5376559,5355574,5330484,5302421,5268513,5236986,5235762,5256705,5287037,5105044
Decatur County,Indiana,Decatur County,24571,24516,24656,24739,24936,25030,25064,25038,25117,25079,23645
Cedar County,Iowa,Cedar County,18200,18074,18049,18058,18030,17933,18000,17950,18047,18006,17444
Coffey County,Kansas,Coffey County,8893,8779,8727,8720,8609,8522,8539,8422,8442,8436,8404
Butler County,Kentucky,Butler County,13039,13138,13149,13217,13383,13304,13402,13294,13358,13329,11245
De Soto Parish,Louisiana,De Soto Parish,25513,25452,25586,25635,25904,25953,26081,26317,26483,26401,25668
York County,Maine,York County,188076,191929,195334,197456,199443,200837,200757,201186,201872,201876,164587
Montgomery County,Maryland,Montgomery County,877363,893275,906145,914893,920965,928916,935168,941491,953685,971600,762875
Cheboygan County,Michigan,Cheboygan County,26570,26884,27102,27150,27096,27094,27024,26845,26485,26106,21398
Cook County,Minnesota,Cook County,5190,5192,5227,5260,5296,5297,5377,5417,5491,5472,3868
Covington County,Mississippi,Covington County,19460,19467,19700,20004,20072,20028,20212,20302,20489,20544,16527
Cape Girardeau County,Missouri,Cape Girardeau County,68792,69231,69514,69813,70622,71141,72149,72643,73217,73957,61633
Gallatin County,Montana,Gallatin County,68369,70196,72000,74723,77439,80708,84498,87300,89812,90343,50484
Cherry County,Nebraska,Cherry County,6147,6031,6001,5950,5961,5911,5777,5672,5575,5474,6307
Washoe County,Nevada,Washoe County,341415,351737,361841,371231,381377,390863,398236,406335,412219,414820,254667
Passaic County,New Jersey,Passaic County,490803,492574,493054,492259,490527,489211,487544,487067,488364,491778,470872
McKinley County,New Mexico,McKinley County,74586,74436,72921,71543,71490,70624,70482,69899,70423,70513,60686
Essex County,New York,Essex County,38822,38629,38717,38626,38389,38197,38156,37856,37740,37686,37152
Carteret County,North Carolina,Carteret County,59383,59705,60121,60838,61711,62273,63269,63334,63547,64423,52407
