areaname,state_name,county_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,total_pop
Adams County,Colorado,Adams County,350961,360348,371781,378785,386663,397463,409532,419607,429597,440994,265038
Fairfield County,Connecticut,Fairfield County,884420,888036,890635,892311,892291,891015,888526,889067,894401,901208,827645
Kent County,Delaware,Kent County,127109,128821,131301,134222,138382,143294,148041,152090,155492,157741,110993
District of Columbia,District of Columbia,District of Columbia,571744,578042,579585,577777,579796,582049,583978,586409,590074,599657,606900
Alachua County,Florida,Alachua County,218602,221394,223994,225862,228346,231849,237199,240196,242133,243574,181596
Appling County,Georgia,Appling County,17408,17458,17513,17729,17726,17713,17682,17905,18044,18011,15744
Hawaii County,Hawaii,Hawaii County,149095,150881,153170,156340,160170,164887,169540,173190,176399,177835,120317
Ada County,Idaho,Ada County,303174,313524,320917,326207,333270,346612,360869,372467,379350,384656,205775
Adams County,Illinois,Adams County,68220,68040,67765,67188,66724,66750,66922,66840,66895,67054,66090
Adams County,Indiana,Adams County,33612,33563,33516,33699,33758,33779,33788,33847,34105,34256,31095
Adair County,Iowa,Adair County,8208,8077,7964,7916,7847,7721,7677,7584,7445,7350,8409
Allen County,Kansas,Allen County,14386,14147,14067,13872,13834,13625,13513,13407,13268,13203,14638
Adair County,Kentucky,Adair County,17285,17471,17575,17645,17645,17695,17821,17906,17909,18029,15360
Acadia Parish,Louisiana,Acadia Parish,58817,58729,58799,58740,58620,58750,59585,59715,59936,60095,55882
Androscoggin County,Maine,Androscoggin County,103845,104148,104873,105786,106324,106560,106971,106695,107061,106539,105259
Allegany County,Maryland,Allegany County,74804,74314,73728,73314,73379,72694,72441,72665,72658,72532,74946
Barnstable County,Massachusetts,Barnstable County,223245,224928,226893,228038,226728,224877,223351,222246,221521,221151,186605
Alcona County,Michigan,Alcona County,11709,11691,11504,11512,11468,11513,11494,11410,11299,11091,10145
Aitkin County,Minnesota,Aitkin County,15349,15332,15541,15638,15793,15846,15958,16014,15891,15646,12425
Adams County,Mississippi,Adams County,34214,33748,33362,32917,32037,31741,32110,31618,31182,30722,35356
Adair County,Missouri,Adair County,24961,24919,24974,24785,24763,24569,24675,24629,24998,25135,24577
Beaverhead County,Montana,Beaverhead County,9187,9012,8950,8831,8802,8761,8860,8857,8980,8976,8424
Adams County,Nebraska,Adams County,31153,31596,31708,32140,32640,32918,32858,32873,33149,33324,29625
Churchill County,Nevada,Churchill County,24008,24316,24088,24047,24117,24460,24624,24733,24808,24897,17938
Belknap County,New Hampshire,Belknap County,56584,57850,58993,59964,60756,60962,60885,61027,61276,61358,49216
Atlantic County,New Jersey,Atlantic County,253038,254890,258169,261810,266015,268318,269495,269945,270609,271712,224327
Bernalillo County,New Mexico,Bernalillo County,557158,562515,573726,582986,594644,607825,619490,628825,635444,642527,480577
Albany County,New York,Albany County,294960,295378,296644,298491,298819,298605,299033,298246,297537,298284,292812
Alamance County,North Carolina,Alamance County,131521,133497,135314,136018,137653,139280,141472,144824,147910,150358,108213
Adams County,North Dakota,Adams County,2576,2530,2488,2437,2394,2352,2305,2293,2270,2236,3174
Adams County,Ohio,Adams County,27337,27480,27705,27913,28062,28177,28210,28098,28183,28043,25371
Adair County,Oklahoma,Adair County,21050,21066,21179,21285,21371,21599,21858,21938,21857,21857,18421
Baker County,Oregon,Baker County,16717,16609,16351,16270,16202,16001,15989,16010,16051,16082,15317
Adams County,Pennsylvania,Adams County,91594,92821,94242,95841,97718,99081,100465,101241,101943,102323,78274
Bristol County,Rhode Island,Bristol County,50723,51001,51076,50914,50881,50574,50138,49979,49878,49542,48859
Abbeville County,South Carolina,Abbeville County,26226,26287,26202,26104,25965,25644,25440,25318,25236,25098,23862
Anderson County,Tennessee,Anderson County,71229,71323,71354,71382,71338,71747,72810,73322,74182,74849,68250
Anderson County,Texas,Anderson County,55068,54110,54365,55573,55573,56031,56381,56754,56709,57001,48024
Beaver County,Utah,Beaver County,6016,6003,6040,5990,5994,6067,6113,6068,6182,6267,4765
Addison County,Vermont,Addison County,36025,36053,36288,36346,36469,36468,36592,36726,36751,36760,32953
Accomack County,Virginia,Accomack County,38365,38473,38593,38566,38669,38716,38580,38455,38395,38462,31703
Adams County,Washington,Adams County,16450,16196,16325,16425,16415,16599,16615,16943,17257,17732,13603
Barbour County,West Virginia,Barbour County,15552,15362,15415,15404,15323,15338,15434,15469,15612,15758,15699
Adams County,Wisconsin,Adams County,20000,20203,20345,20287,20307,20649,20544,20429,20284,20088,15682
Albany County,Wyoming,Albany County,31914,32209,32275,32484,32752,32610,32757,32479,33099,33979,30797
Baldwin County,Alabama,Baldwin County,141358,144988,148141,151707,156573,162564,168516,172815,176212,179878,98280
Cochise County,Arizona,Cochise County,118028,118573,119750,121175,123235,125637,126751,127736,128425,129518,97624
Ashley County,Arkansas,Ashley County,24160,23823,23758,23478,23171,22783,22515,22258,22186,21941,24319
Alpine County,California,Alpine County,1205,1175,1195,1172,1182,1123,1158,1144,1057,1041,1113
Alamosa County,Colorado,Alamosa County,14964,14991,15168,15125,15293,15317,15288,15297,15441,15424,13617
Hartford County,Connecticut,Hartford County,858422,861183,864497,868343,868109,870039,871743,874107,876319,879835,851783
New Castle County,Delaware,New Castle County,501913,505564,509113,512919,516887,520918,524473,527786,531057,534634,441946
Baker County,Florida,Baker County,22373,22533,23143,23285,23789,24382,25021,25605,26048,26336,18486
Atkinson County,Georgia,Atkinson County,7610,7627,7708,7923,7893,7976,8049,8165,8198,8230,6213
Honolulu County,Hawaii,Honolulu County,875061,877189,882628,888026,894406,900340,903467,898695,902745,907574,836231
Adams County,Idaho,Adams County,3458,3427,3438,3447,3461,3524,3445,3548,3562,3520,3254
Alexander County,Illinois,Alexander County,9584,9443,9398,9038,8938,8629,8410,8206,8112,7914,10626
Allen County,Indiana,Allen County,332744,334942,337069,339275,340678,342894,345976,349322,351148,353888,300836
Adams County,Iowa,Adams County,4475,4396,4350,4321,4256,4159,4141,4099,4032,3930,4866
Anderson County,Kansas,Anderson County,8090,8168,8090,8107,7992,7949,7861,7858,7958,7872,7803
Allen County,Kentucky,Allen County,17810,17853,18034,18143,18315,18425,18687,18856,19047,18982,14628
Allen Parish,Louisiana,Allen Parish,25410,25397,25113,25186,25190,24864,25562,25845,25735,25636,21226
Aroostook County,Maine,Aroostook County,73869,72873,72777,72622,72499,72328,72178,72048,71827,71488,86936
Anne Arundel County,Maryland,Anne Arundel County,491394,497045,502574,505443,508722,510194,509947,511875,515328,521209,427239
Berkshire County,Massachusetts,Berkshire County,134787,133723,133101,132672,132052,131268,130494,130219,129571,129288,139352
Alger County,Michigan,Alger County,9827,9807,9736,9642,9611,9538,9576,9650,9509,9286,8972
Anoka County,Minnesota,Anoka County,299775,305002,309032,312164,317165,320476,324414,326973,328998,331582,243641
Alcorn County,Mississippi,Alcorn County,34606,34652,34746,34706,34961,35075,35433,35758,35825,35822,31722
Andrew County,Missouri,Andrew County,16530,16589,16513,16613,16580,16506,16850,16835,16914,17052,14632
Big Horn County,Montana,Big Horn County,12659,12805,12771,12732,12844,12769,12703,12751,12809,13015,11337
Antelope County,Nebraska,Antelope County,7440,7235,7208,7134,7015,6930,6764,6680,6620,6652,7965
Clark County,Nevada,Clark County,1393370,1456549,1515571,1572924,1646875,1708846,1778129,1838635,1879093,1902834,741368
Carroll County,New Hampshire,Carroll County,43910,44218,45106,45718,46532,46677,47457,47877,48085,47860,35410
